ドメイン,カテゴリー,コード,コードの解説（医学的・リハビリテーション的視点）,ゲームへの応用,ゲームへの応用の具体例
,,d770 親密な関係,恋愛・盟友・バディ。,コンビ技、感情分岐、裏切り確率。,高親密で合体技発動、嫉妬イベントで分岐。
,主要な生活領域,d810 非公式な教育,師弟・旅先・独学での学習。,非公的スキル習得、盗賊/自己流魔法の熟練。,師匠の下で裏技習得、実地訓練で隠技解禁。
,,d820 学校教育,基礎学力・一般常識。,読み書き計算成功率、学園シナリオ成績。,テストで報酬↑、常識チェック合格で分岐解放。
,,d825 職業訓練,職能に関する系統訓練。,職業スキル解放、治療/鍛冶/兵器操作成功率。,看護訓練で治療成功↑、鍛冶で品質S解禁。
,,d830 高等教育,大学・魔法学院・士官学校レベル。,高度研究・開発・戦略立案の前提。,上位魔法解禁、研究開発で新装備設計。
,,d840 見習研修（職業準備）,上位職への移行準備。,クラスチェンジ条件、装備制限解除。,見習満了で上位職に昇格、重装備解禁。
,,d845 仕事の獲得・維持・終了,依頼受注〜退職の循環管理。,評価・昇進・契約延長・解雇ペナルティ。,昇給イベント、契約更新ボーナス、違約で評判↓。
,,d850 報酬を伴う仕事,金銭対価のある労働。,収益倍率、維持費軽減、雇用コスト交渉。,有給クエ報酬↑、税控除、NPC雇用費↓。
,,d855 無報酬の仕事,無償奉仕・慈善・義勇。,好感度・慈善イベント・派閥友好上昇。,ボランティアで住民信頼↑、寄付で勢力友好↑。
,,d860 基本的な経済的取引き,単発の売買・両替・賭け。,値切り・物価影響・ギャンブル勝率。,店での価格交渉成功、即席賭博の勝率補正。
,,d865 複雑な経済的取引き,投資・株・大口貿易・金融リスク管理。,収益率、資金調達速度、詐欺被害リスク。,領地運営でROI↑、資金繰り短縮、詐欺被害回避。
,,d870 経済的自給,狩猟採集・農耕・自家工房等の自給力。,自給率、維持費削減、交易依存度低下。,畑拡張で食料自給↑、工房で補給依存↓。
環境因子,製品と用具,e110 個人消費用の生産品や物質,食料・薬品・消耗品など、日常的に使用される物質や製品。健康維持や治療、栄養補給に不可欠。,ポーションや食料などの消費アイテム管理。,回復量やバフ持続時間、毒物耐性の調整。
,,e115 日常生活における個人用の生産品と用具,生活必需品や簡易ツール。携行・維持管理が自立生活に関わる。,所持重量、ツール耐久、クラフト成功率。,バックパックで所持容量↑、調理器具で料理成功率↑。
,,e120 個人的な移動用の生産品と用具,移動補助具（杖、車椅子、自転車等）。,移動速度や燃費、落下ダメージ軽減。,バイクで移動速度↑、パワードスーツで落下ダメージ軽減。
,,e125 コミュニケーション用の生産品と用具,電話・無線機・補聴器などの通信支援具。,通信成功率、暗号解読、ハッキング難易度。,魔導通信石で遠距離指示、無線で隊列指揮、暗号解読成功率。
,,e130 教育用の生産品と用具,教材や学習支援デバイス。,スキル習得速度、研究開発成功率。,訓練シミュレーターでスキル習得加速、書物で知識判定ボーナス。
,,e135 仕事用の生産品と用具,専門職器具（医療器具・工具）。,職業アクションの成功率・品質。,鍛冶工具で装備品質↑、医療器具で治療成功率↑。
,,e140 文化・レクリエーション・スポーツ用の生産品と用具,趣味や娯楽の道具。,ミニゲーム勝率、ストレス回復、友好度上昇。,楽器演奏で士気UP、カードゲームで親密度↑。
,,e145 宗教とスピリチュアリティ儀式用の生産品と用具,宗教儀礼用具（祭具、聖印）。,バフ効果・祈祷成功率・信仰補正。,聖印で祈祷成功率↑、供物で祝福バフ獲得。
,,e165 資産,所有財産（不動産・株・宝飾品）。,経済イベントでの収益・担保・勢力影響力。,領地運営収益↑、資産担保で借金返済、宝飾品で評判UP。
,自然環境と人間がもたらした環境変化,e210 自然地理,地形・地質条件。,移動コスト・隠密難易度・属性相性。,山岳地で移動速度↓、地属性魔法で威力↑。
,,e215 人口・住民,人口密度・文化背景。,NPC遭遇率・交易価格・評判変動。,人口密集地で交易価格↓、文化差で交渉難度↑。
,,e220 植物相と動物相,動植物資源と生態系。,狩猟・採集・召喚・ペット管理。,森林で薬草出現率↑、モンスター出現テーブル制御。
,,e225 気候,気温・湿度・天候。,スタミナ消費、状態異常発生。,砂漠で脱水、寒冷地で低体温デバフ、雨で火魔法威力↓。
,,e230 自然災害,地震・火山・津波など環境リスク。,イベントトリガー・拠点ダメージ。,火山噴火で村破壊、地震でクエスト発生。
,,e235 人的災害,戦争・暴動・汚染。,勢力変動・リソース減少・デバフ。,戦争イベントで資源供給↓、暴動でNPC信頼度↓。
,,e240 光,光量・昼夜サイクル。,視認性・命中率・ステルス判定。,夜間はステルス性能↑、昼間は命中率↑。
,,e245 時間的変化,四季・年代変化。,作物成長・建物劣化・NPC加齢。,冬で作物育成不可、NPC老化イベント発生。
,,e250 音,環境音・騒音。,発見リスク・聴覚スキル成功率。,騒音で敵に発見されやすい、静寂で索敵精度↑。
,,e255 振動,振動刺激。,警戒度上昇・感知スキル。,大型敵接近時の振動演出、振動感知スキルで察知。
,,e260 空気の質,酸素濃度・汚染・有害ガス。,呼吸環境・継続ダメージ・特殊装備必要性。,毒ガスでHP継続減少、酸素不足で視界狭窄。
,支援と関係,e310 家族,血縁・同居家族との関係。精神的支えや役割分担に影響。,相続、スキル継承、家族イベントの基盤。,遺産クエスト発生、家名による評判補正、固有スキル継承。
,,e315 親族,一族・親戚のネットワーク。支援や社会的義務に影響。,同盟・評判ボーナス・遠縁支援イベント。,親戚援軍参戦、縁戚同盟、家同士の評判UP。
,,e320 友人,友情関係による社会的支援やストレス緩和。,共闘バフ、情報提供の質、友情イベント。,友情度で連携攻撃成功↑、友人NPCがレア情報提供。
,,e325 知人・仲間・同僚・隣人・コミュニティの成員,緩やかなソーシャルネットワーク。噂や地域支援に影響。,噂拡散、資源融通、コミュニティイベント。,街での評判伝播、物資供給、村祭りイベント発生。
,,e330 権限をもつ立場にある人々,上司・領主・教師など権威者との関係。,クエスト受注、昇進、免罪判定。,領主から特別任務、教師からスキル習得許可。
,,e335 下位の立場にある人々,部下・弟子・召使いとの関係。,指揮統率、命令成功率、士気。,部下への指示で行動速度↑、忠誠度低下で反乱イベント。
,,e340 対人サービス提供者,専属ケア提供者（付き人・メイド・医師など）。,ケア速度、バフ持続、支援行動率。,専属メイドで疲労回復↑、医師で治療費割引。
,,e345 よく知らない人,見知らぬ相手への態度や関係構築速度。,初対面NPCの交渉難度、潜入発見率。,取引開始価格補正、潜入時に発見率↑。
,,e350 家畜・家禽など,ペットや家畜との関係。,騎乗性能、戦闘支援、資源生産。,馬の騎乗操作性↑、ペットが資源採集補助。
,,e355 保健の専門職,医師・看護師などとの関係。,治療割引、回復速度、希少薬イベント。,信頼医師から薬提供、治療費ディスカウント。
,,e360 その他の専門職,鍛冶師・学者・情報屋など。,装備強化、研究開発、情報精度。,鍛冶師との関係で装備品質↑、情報屋で隠しルート解放。
,態度,e410 家族の態度,家族の期待・支援・偏見。,行動制限やモチベーションの変動。,家族の支援で能力↑、失望で行動制限。
,,e415 親族の態度,親族集団の評判や義務意識。,勢力イベントや相続への影響。,親戚の圧力で結婚強制、親族の支持で領地拡大。
,,e420 友人の態度,友情度に応じた支援・裏切り。,共闘バフ、裏切りイベント。,高友情で援護技、友情低下で裏切り発生。
,,e425 知人・仲間・同僚・隣人・コミュニティの態度,地域社会からの評価。,クエ報酬、物価変動、評判イベント。,村の評判↑で物価↓、噂でクエ発生。
,,e430 権限をもつ立場にある人々の態度,権威者からの評価。,任務・昇進・恩赦の条件。,領主の好意で免罪、教師の評価で昇進。
,,e435 下位の立場にある人々の態度,部下や弟子の忠誠心。,命令成功率、士気、反乱率。,忠誠度↑で士気ボーナス、低下で裏切り。
,,e440 対人サービス提供者の態度,専属者の献身度。,ケア速度、費用、サポート行動。,メイドの忠誠で回復速度↑、医師が無償治療。
,,e445 よく知らない人の態度,初対面NPCの反応。,潜入時の発見率、価格補正。,警戒心高で発見率↑、好奇心高で交渉容易。
,,e450 保健の専門職者の態度,医療職の評価。,治療成否、薬提供可否。,医師好意で特効薬入手、偏見で治療拒否。
,,e455 その他の専門職者の態度,職能NPCの評価。,強化品質、情報提供成否。,鍛冶師好意で特別装備、学者が新魔法公開。
,,e460 社会的態度,社会全体の価値観・偏見。,評判システム、違法行動ペナルティ。,犯罪で社会評判↓、正義行為で名声↑。
,,e465 社会的規範・慣行・イデオロギー,文化・宗教・政治的価値観。,選択肢制限、陣営対立、カルマ判定。,宗教規範で禁呪使用NG、政治体制で分岐発生。
,サービス・制度・政策,e510 消費財生産のためのサービス・制度・政策,生産規格・製造許可・流通制度など。,生産効率、アイテム品質、流通コストの差別化。,許可施設でクラフト品質↑、規制下でコスト↑。
,,e515 建築・建設に関連するサービス・制度・政策,建築許可、税制、都市計画など。,建設速度・費用・耐震／防衛ボーナスに影響。,建築許可で拠点拡張、税率で建設費用↑↓。
,,e520 土地計画に関連するサービス・制度・政策,土地利用規制、区画整理。,施設配置の自由度、採掘権、景観評価。,規制で鉱山建設不可、景観ボーナスで観光収益↑。
,,e525 住宅供給サービス・制度・政策,住宅供給・家賃制度。,住居取得コスト、NPC定住率、安全度。,住宅供給でNPC増加、税で住居維持コスト↑。
,,e530 公共事業サービス・制度・政策,水道・電気・下水などのインフラ。,衛生度、クラフト効率、デバフ管理。,水道インフラで衛生度↑、停電で作業効率↓。
,,e535 コミュニケーションサービス・制度・政策,通信網整備や検閲。,通信成功率、暗号解読、情報拡散速度。,通信網発展で遠距離指示成功↑、検閲で情報拡散↓。
,,e540 交通サービス・制度・政策,公共交通網・通行税。,移動コスト、物流速度、FT（ファストトラベル）効率。,通行税で移動コスト↑、交通網発展でFT時間↓。
,,e545 市民保護サービス・制度・政策,警察・消防・避難体制。,治安イベント頻度、災害軽減率、犯罪ペナルティ。,警察強化で犯罪抑止、消防力で火災被害軽減。
,,e550 司法サービス・制度・政策,裁判制度・法律体系。,犯罪リスク、罰金額、収監期間。,厳罰主義で犯罪ペナルティ↑、恩赦イベントで無罪放免。
,,e555 団体と組織に関するサービス・制度・政策,ギルド制度や補助金。,派閥加入、支援ボーナス、寄付効果。,ギルド登録で特殊スキル解禁、寄付で勢力評判↑。
,,e560 メディアサービス・制度・政策,報道・情報流通制度。,噂拡散速度、評判変動、プロパガンダ効果。,報道自由で噂拡散↑、独占で一方的プロパガンダ。
,,e565 経済に関するサービス・制度・政策,銀行・関税・為替規制。,金利収益、投資リスク、輸出入コスト。,銀行制度で利息収入↑、関税で輸出コスト↑。
,,e570 社会保障サービス・制度・政策,年金・福祉・保険制度。,失業・病気デバフ軽減、NPC生活満足度。,社会保障充実で犯罪率↓、保険で治療費軽減。
,,e580 保健サービス・制度・政策,医療提供体制・補助金。,回復アイテム価格、治療成功率、疫病頻度。,医療インフラ強化で治療成功↑、貧困地域で疫病頻発。
,,e585 教育と訓練のサービス・制度・政策,学校・奨学金・教育制度。,スキル習得速度、研究開発効率。,奨学金で学習速度↑、教育不足で知識判定失敗率↑。
,,e590 労働と雇用のサービス・制度・政策,雇用保護・最低賃金。,クエ報酬相場、失業イベント発生率。,雇用安定でNPC満足度↑、低賃金で労働争議イベント。
,,e595 政治的サービス・制度・政策,選挙制度・政党助成。,政治力獲得、法案可決率、クーデターリスク。,民主制度で選挙イベント、独裁でクーデター発生率↑。
